㕣(yǎn): 山间泥沼地; 字数: 5
𠯹(n閚g): 〔𠯹嘣〕形容动作突然而迅速; 字数: 11
𠰄(yī): 《川篇》烏兮切; 字数: 5
𠰅(zhī): 拈物; 字数: 2
𠰇(jīn): 《川篇》音金; 字数: 4
𠰈(hóng): 牛声; 字数: 2
𠰉(hāo): 喉鸣; 字数: 2
𠰋(iū): 声; 字数: 1
𠰍(zhǔ): 口不正; 字数: 3
𠰍(zhǔ): 呼鸡声; 字数: 3
𠰏(zhá): 猪吃食; 字数: 3
𠰐(pǒ): 声; 字数: 1
𠰑(àn): 声; 字数: 1
𠰕(chū): 《奚韻》尺屈切; 字数: 5
𠰖(yán): 《川篇》羊甘切; 字数: 5
𠰚(shì): 《川篇》音示; 字数: 4
𠰜(è): 相呵拒; 字数: 3
𠰴(sh?): *英*制重量单位; 字数: 8
𠰹(tuō): 俗谓兽类将物衔走叫“𠰹”; 字数: 10
𠰺(dài): 《字彙補·口部》：“𠰺，徒在切; 字数: 10
𠰻(wài): 方言; 字数: 2
𠰻(wai): 语气词; 字数: 3
𠰼(pō): 《搜真玉鏡》：“𠰼，普末切，又音巿; 字数: 11
𠰾(jū): 《字彙補·口部》：“𠰾，音居; 字数: 9
𠱀(ō): 语气词; 字数: 3
𠱐(yǔ): 想笑貌; 字数: 3
𠱑(ōu): 轻言; 字数: 2
𠱓(guǐ): 诡诈; 字数: 2
𠱔(shòu): 逐鸟声; 字数: 3
𠱘(nì): 呕; 字数: 1
𠱙(cù): 叹息; 字数: 2
𠱚(òng): 言不高; 字数: 3
𠱛(𠱛bǐng): 〔𧮼𠱛〕即“泰丙”，人名，*周穆王*的车右; 字数: 15
𠱜(zùn): 大口; 字数: 2
𠱝(yè): 怒；怒气; 字数: 3
𠱞(rǎn): 口动貌; 字数: 3
𠱠(íng): 众鸟; 字数: 2
𠱡(sà): 音变; 字数: 2
𠱡(shài): 〔喝𠱡〕声音沙哑; 字数: 6
𠱤(lěi): 《類篇》音耒; 字数: 4
𠱥(è): 〔嘈嘈𠱥𠱥〕杂乱声; 字数: 7
𠱥(huì): 叱声; 字数: 2
𠱥(zá): 〔嘈𠱥〕也作“嘈囋”; 字数: 6
𠱨(jǐ): 声; 字数: 1
𠱫(è): 怒声相拒; 字数: 4
𠱲(nà): 《川篇》女洽切; 字数: 5
𠱳(yǔn): 《川篇》音喗; 字数: 4
𠲋(uǐ): 识; 字数: 1
𠲌(shù): 使犬声; 字数: 3
𠲍(diū): 〔𠲍儿〕方言; 字数: 4
𠲎(fá): 佛经咒语译音用字，无实义; 字数: 11
𠲎(fa): 方言; 字数: 2
𠲏(rěn): 〔𠲏𠱞〕口动貌; 字数: 5
𠲔(ī): 叹词; 字数: 2
𠲖(yī): 助词; 字数: 2
𠲚(yì): 《搜真玉鏡》：“𠲚，烏計切; 字数: 8
𠲛(hu?): 象声词; 字数: 3
𠲜(zhēng): 〔𠲜𡃅〕形容蝉鸣声哀婉; 字数: 9
𠲮(ìng): 猿声; 字数: 2
𠲱(gé): 枝丫; 字数: 2
𠲴(nóu): 《類篇》奴侯切; 字数: 5
𠲵(qiè): 〔𠲵𠲵〕声; 字数: 3
𠲵(jié): 声; 字数: 1
𠲷(dié): 〔𠲷吺〕多言; 字数: 4
𠲹(jì): 吃; 字数: 1
𠲺(yì): 〔𠲺𠲺〕众声; 字数: 4
𠲻(yí): 〔𠲻嗞〕惭愧的样子; 字数: 7
𠳁(kěn): 啃；咬; 字数: 2
𠳃(hòng): 〔𠳃𠳃〕象声词; 字数: 5
𠳇(hé): 息; 字数: 1
𠳊(hē): 开口声; 字数: 3
𠳋(𠳋qiǎn): 小土块; 字数: 3
𠳌(qià): 叹声; 字数: 2
𠳎(sì): 译音用字; 字数: 4
𠳐(bāng): 象声词; 字数: 3
𠳭(None): 象声用字; 字数: 4
𠳳(āi): 叹词; 字数: 2
𠳶(tū): 叹词; 字数: 2
𠳹(hu醤g): 象声词; 字数: 3
𠳼(s騨g): 响度的单位; 字数: 5
𠳽(chéng): 大声叫喊; 字数: 4
𠳿(wēi): 〔𠳿呀〕叹词; 字数: 4
𠴂(nǔ): 向人撅嘴示意; 字数: 6
𠴄(jiǔ): 《搜真玉鏡》：“𠴄，音糺; 字数: 7
𠴆(t?): 象声词; 字数: 3
𠴇(bīn): 〔𠴇嗽〕吞吐说唱; 字数: 6
𠴡(wǎn): 《川篇》華板切; 字数: 5
𠴣(hǒu): 牛叫; 字数: 2
𠴨(guān): 〔𠴨𠴨〕也作“關關”; 字数: 6
𠴫(jì): 安静，无声; 字数: 4
𠴫(cù): 叹; 字数: 1
𠴫(zhù): 〔𠴫𠴫〕赞叹声; 字数: 5
𠴭(xī): 〔𠴭𠴭〕鸟声; 字数: 4
𠴯(shè): 《川篇》山涉切; 字数: 5
𠴳(iáo): 声; 字数: 1
𠴸(bò): 方言; 字数: 2
𠴹(qì): 〔𠴹𠴹〕也作“㕸㕸”; 字数: 6
𠴼(dào): 〔𠴼喇〕古代剧种名; 字数: 7
𠴾(nà): 〔喢𠴾〕也作“喢㗙”; 字数: 6
𠵣(y?): 〔咿𠵣〕象声词; 字数: 5
𠵧(zhēn): 惊; 字数: 1
𠵨(de): 〔呲𠵨〕方言; 字数: 4
𠵩(hē): 〔𠵩𠵩〕象声词; 字数: 5
𠵫(āng): 方言; 字数: 2
𠵬(pí): 《字彙補·口部》：“𠵬，音皮; 字数: 9
𠵭(sè): 〔咠𠵭〕口声; 字数: 4
𠵮(fěn): 《川篇》：“𠵮，音粉; 字数: 5
𠵯(guā): 〔𠵯喇〕象声词; 字数: 5
𠵷(xuàn): 箭括; 字数: 2
𠵹(gāng): 方言; 字数: 2
𠵺(bā): 〔𠵺撻〕也作“叭噠”; 字数: 6
𠵻(zōng): 象声词; 字数: 3
𠵼(m鑞g): 〔𠵼雅喇〕*孟加拉*的旧译; 字数: 11
𠶧(diān): 念；念叨; 字数: 3
𠶨(xī): 《川篇》欣其切; 字数: 5
𠶫(dà): 《類篇》音大; 字数: 4
𠶬(nàng): 《川篇》奴浪切; 字数: 5
𠶰(diāo): 〔𠶰然〕又作“奝然”; 字数: 6
𠶱(luò): 梵文译音用字; 字数: 6
𠶲(kè): 啃，咬; 字数: 2
𠶷(yì): 快；高兴; 字数: 3
𠶸(ué): 大笑; 字数: 2
𠶹(hé): 《俗字背篇》：“𠶹，下没切; 字数: 8
𠶾(hè): 慢应声; 字数: 3
𠶿(zá): 〔嘈𠶿〕喧闹声; 字数: 5
𠷀(rǔn): 吮; 字数: 1
𠷁(qián): 《俗字背篇》音前; 字数: 6
𠷁(jiān): 煎; 字数: 1
𠷂(dài): 〔㘆𠷂〕见“㘆”; 字数: 4
𠷇(shī): 驱鸡声; 字数: 3
𠷈(lǜ): 鸣; 字数: 1
𠷈(liè): 鸡鸣; 字数: 2
𠷉(iā): 佛经译音用字; 字数: 6
𠷊(ián): 能说会道; 字数: 4
𠷋(hòu): 《川篇》音厚; 字数: 4
𠷌(zé): 《内典》; 字数: 2
𠷍(tà): 《俗字背篇》他合切; 字数: 7
𠷎(chóu): 嗟叹声; 字数: 3
𠷏(wō): 《集韻》烏禾切; 字数: 5
𠷑(pō): 妄说; 字数: 2
𠷒(zhāi): 《類篇》陟皆切; 字数: 5
𠷓(xīn): 助词; 字数: 2
𠷖(biàn): 译音用字; 字数: 4
𠷙(xù): 声; 字数: 1
𠷞(gū): 〔巫𠷞〕一作“𠷞𨟚”; 字数: 6
𠸁(p鄆): 译音用字; 字数: 4
𠸂(ū): 象声词; 字数: 3
𠸄(yīng): 译音用字，指*英国*; 字数: 9
𠸮(xiǎng): 恐惧声; 字数: 3
𠸱(𠸱nuò): 《搜真玉鏡》奴候切; 字数: 7
𠸲(gē): 土釜；沙锅; 字数: 4
𠸳(bó): 《類篇》音缽; 字数: 4
𠸴(xiè): 怒大声; 字数: 3
𠸹(yù): 喉声; 字数: 2
𠸺(nì): 《俗字背篇》音逆; 字数: 6
𠹁(wà): 婴儿哭声; 字数: 4
𠹃(àng): 声; 字数: 1
𠹆(dān): 声; 字数: 1
𠹊(cǎo): 〔𠹊𡂕〕也作“愺恅”; 字数: 6
𠹋(jí): 〔噈𠹋〕声; 字数: 3
𠹌(něng): 话多; 字数: 2
𠹍(yǒng): 〔喠𠹍〕见“喠（zhǒng）”; 字数: 9
𠹍(róng): 死; 字数: 1
𠹎(xiāo): 《餘文》許交切; 字数: 5
𠹐(chuǎ): 《川篇》初瓦切; 字数: 5
𠹑(yào): 叫; 字数: 1
𠹓(gé): 声; 字数: 1
𠹔(táng): 〔哃𠹔〕大话; 字数: 4
𠹕(bào): 夸; 字数: 1
𠹖(chǎn): 〔𠹖㗔〕痴貌; 字数: 4
𠹘(xù): 吹口𠹘; 字数: 3
𠹛(ái): 笑; 字数: 1
𠹝(chóu): 地名; 字数: 2
𠹠(zuō): 《川篇》祖郭切; 字数: 5
𠹤(wèi): 怒恨声; 字数: 3
𠹥(dā): 口动貌; 字数: 3
𠹦(pī): 〔𠹦唲〕口貌; 字数: 4
𠺒(xī): 〔哱𠺒〕叹词; 字数: 4
𠺔(pèn): 《搜真玉鏡》：“𠺔，普問切; 字数: 8
𠺕(liū): 象声词; 字数: 3
𠺖(mǔ（又读yīngmǔ）): “英亩”的旧称; 字数: 5
𠺗(iē): 佛教“六字真言”之一; 字数: 8
𠺙(tu?): 叹词; 字数: 2
𠺚(bān): *宋*杂剧的散段; 字数: 8
𠺝(ē): 象声词; 字数: 3
𠺟(k?): 〔𠺟哧〕象声词; 字数: 5
𠺢(jiā): 象声词; 字数: 3
𠺣(bō): 〔哔𠺣〕象声词; 字数: 5
𠻍(huàn): 使狗声; 字数: 3
𠻏(zú): 〔嚬𠻏〕也作“嚬嘁”; 字数: 6
𠻐(luò): 梵文译音字; 字数: 5
𠻗(lí): 〔咮𠻗〕也作“侏離”、“吺𠻗”; 字数: 8
𠻜(shuì): 饮；尝; 字数: 2
𠻜(sū): 象声词; 字数: 3
𠻞(kǎng): 咳嗽声; 字数: 3
𠻠(líng): 耳声; 字数: 2
𠻡(luǒ): 〔𠻡哆〕唇垂貌; 字数: 5
𠻤(yǎn): 大笑; 字数: 2
𠻥(zhào): 众声; 字数: 2
𠻦(chuǎ): 恶言; 字数: 2
𠻧(gù): 〔喉𠻧〕咽喉; 字数: 4
𠻨(qǐn): 嘴唇上的疮; 字数: 5
𠻪(tán): 〔𠽪𠻪〕见“𠽪”; 字数: 4
𠻫(fèn): 怒; 字数: 1
𠻬(tú): 水草名; 字数: 3
𠻱(léng): 译音用字; 字数: 4
𠻴(lǎng): 方言; 字数: 2
𠼖(None): 呆貌; 字数: 2
𠼟(l): 〔㗄𠼟〕见“㗄”; 字数: 4
𠼠(zhǐ): 《字彙補·口部》：“𠼠，義未詳; 字数: 10
𠼡(chóu): 谁; 字数: 1
𠼢(jiàng): 《字彙補·口部》：“𠼢，音絳; 字数: 9
𠼢(qiàng): 象声词; 字数: 3
𠼤(jiān): 〔咪唎𠼤〕*美利坚*（*美国*）的旧译; 字数: 15
𠼩(l鷑): 〔嗢𠼩〕整个儿吞下; 字数: 7
𠼪(yí): 译音用字; 字数: 4
𠽜(yì): 快; 字数: 1
𠽝(𠽝nín): 《川篇》尼近切; 字数: 5
𠽣(zhǎ): 咀嚼食物的声音; 字数: 7
𠽦(hǎn): 怒声; 字数: 2
𠽨(ǐn): 声; 字数: 1
𠽩(bì): 鸣; 字数: 1
𠽪(ān): 〔𠽪𠻪〕少味; 字数: 4
𠽫(xiā): 口张开的样子; 字数: 6
𠽰(dī): 《川篇》音低; 字数: 4
𠽱(jiǎn): 口吃; 字数: 2
𠽲(pán): 以言难人；盘问; 字数: 6
𠽵(yù): 喉中鸣; 字数: 3
𠽶(cuì): 跳啮; 字数: 2
𠽹(chá): 《龍龕手鑑》音察; 字数: 6
𠽻(zhé): 《龍龕手鑑》音哲; 字数: 6
𠽼(sè): 说话不流利; 字数: 5
𠽾(pǔ): 〔𠽾噜〕也作氆氇; 字数: 6
𠾀(zhé): 《搜真玉鏡》直列切; 字数: 7
𠾆(lí): 《佛經真言》; 字数: 4
𠾇(dōu): 《經音義》作𧯞; 字数: 5
𠾌(pò): 声; 字数: 1
𠾏(shē): 佛经译音用字，无实义; 字数: 9
𠾐(l髇g): 象声词; 字数: 3
𠾢(shù): 《字彙補·口部》：“𠾢，義未詳; 字数: 10
𠾤(jìn): 《搜真玉鏡》：“𠾤，音妗; 字数: 7
𠾥(líng): 耳声; 字数: 2
𠾨(kān): 啄; 字数: 1
𠾩(là): 《字彙補·口部》：“𠾩，音臈; 字数: 9
𠾬(jìn): 《字彙補·口部》：“𠾬，音近; 字数: 9
𠾮(chuān): 《字彙補·口部》：“𠾮，義未詳; 字数: 10
𠾲(yu?): 呕吐; 字数: 2
𠿆(mǎi): 《川篇》音買; 字数: 4
𠿉(jì): 声; 字数: 1
𠿏(jiān): 象声词; 字数: 3
𠿑(hán): 吼; 字数: 1
𠿑(gǎn): 鸟声; 字数: 2
𠿑(ǎn): 可; 字数: 1
𠿓(sà): 〔𠿓𠿓〕1.丑; 字数: 3
𠿕(qiào): 〔𠿕𧇠〕不安；不平; 字数: 6
𠿗(sè): 叱声; 字数: 2
𠿛(lǔ): 〔𠿛𠿛〕唤猪声; 字数: 5
𠿜(huà): 大口的盛酒器; 字数: 6
𠿝(chū): 呵斥; 字数: 2
𠿞(shǎn): 视面色变; 字数: 4
𠿟(wò): 夸叹的声音; 字数: 5
𠿠(jí): 喻; 字数: 1
𠿡(zhuó): 《集韻》張滑切），入黠知; 字数: 8
𠿣(yī): 𠿣声; 字数: 2
𠿤(guó): 口声; 字数: 2
𡀑(zhōu): 《字彙補·口部》：“𡀑，音輈; 字数: 9
𡀔(lù): 助词; 字数: 2
𡀔(lou): 方言; 字数: 2
𡀖(bō): 《字彙補·口部》：“𡀖，義未詳; 字数: 10
𡀗(shī): 一种用口腔运气的方法; 字数: 10
𡀘(yìng): 〔𡀘𡀘〕兽声; 字数: 4
𡀙(kū): 方言; 字数: 2
𡀾(è): 众声; 字数: 2
𡀿(lǜ): 〔𡀿𡀿〕方言; 字数: 4
𡁀(hàn): 声音; 字数: 2
𡁁(kài): 声; 字数: 1
𡁆(luò): 〔啅𡁆〕也作“卓犖”; 字数: 6
𡁇(chuò): 梵文译音字; 字数: 5
𡁈(fàn): 恶心呕吐; 字数: 4
𡁉(zhí): 鸣; 字数: 1
𡁊(yìng): 《餘文》於孟切; 字数: 5
𡁋(wěn): 〔𡁋喗〕小口; 字数: 4
𡁌(ā): 噎声; 字数: 2
𡁍(ài): 嘶咽声; 字数: 3
𡁎(yú): 〔嘘𡁎〕人力牵引重物时的号子声; 字数: 13
𡁑(huā): 口歪; 字数: 2
𡁓(liè): 〔𡁓𠲷〕亦作“𡂩𠲷”; 字数: 6
𡁕(zá): 〔𡁕喋〕本指水鸟及鱼类争食之貌，比喻贪取、深求; 字数: 19
𡁨(duì): 《搜真玉鏡》多耒切; 字数: 7
𡁪(jì): 《搜真玉鏡》：“𡁪，音計; 字数: 7
𡁮(wō): 〔𡁮咧〕助词; 字数: 4
𡁱(xī): 〔𡁱𡁱〕叹词; 字数: 4
𡁳(zh鄋): 〔𡁳𡁳〕战慄恐惧; 字数: 6
𡁴(tu醤): 拼凑；揉合; 字数: 4
𡂊(yú): 《搜真玉鏡》音余; 字数: 6
𡂏(liè): 啃骨头的声音; 字数: 6
𡂒(zhì): 乡野之人的话; 字数: 6
𡂓(shī): 嘱; 字数: 1
𡂕(lǎo): 〔𠹊𡂕〕见“𠹊”; 字数: 4
𡂗(wěi): 《川篇》音唯; 字数: 4
𡂙(chí): 说话缓慢; 字数: 4
𡂚(yǐng): 象声词; 字数: 3
𡂛(dòu): 《龍龕手鑑》徒候切; 字数: 7
𡂟(ào): 耕地; 字数: 2
𡂡(shù): 使狗声; 字数: 3
𡂣(zhí): 〔𡂣𡂣〕也作“𡁉𡁉”; 字数: 6
𡂩(liè): 〔𡂩𠲷〕亦作“𡁓𠲷”; 字数: 6
𡂫(p閚g): 象声词; 字数: 3
𡂭(zhē): 〔吱𡂭〕急行喘息貌; 字数: 7
𡂿(ǒu): 呕吐; 字数: 2
𡂿(ōu): 象声词; 字数: 3
𡂿(ou): 语气词; 字数: 3
𡃂(xiè): 《字彙補·口部》：“𡃂，思夜切，音瀉; 字数: 12
𡃃(jí): 《孔雀經》; 字数: 3
𡃄(None): 叹词; 字数: 2
𡃆(cēng): 金属碰击声; 字数: 5
𡃝(lùn): 梵文译音用字; 字数: 6
𡃞(z鄋): 〔撒𡃞〕也作“撒暫”; 字数: 6
𡃡(lóng): 大声; 字数: 2
𡃢(xì): 声; 字数: 1
𡃦(lìn): 鸟叫声; 字数: 3
𡃩(guī): 呼; 字数: 1
𡃳(hōng): 佛经咒语译音用字，无实义; 字数: 11
𡃷(lí): 《川篇》力携切; 字数: 5
𡃸(cí): 《海篇·口部》：“𡃸，音雌; 字数: 8
𡄑(jiān): 〔𡄑㖩〕不廉; 字数: 4
𡄒(ào): 九十岁; 字数: 3
𡄔(qìng): 《搜真玉鏡》詰定切; 字数: 7
𡄕(xiè): 坏声; 字数: 2
𡄖(ìng): 叹词; 字数: 2
𡄟(h?): 方言; 字数: 2
𡄡(zhe): 方言; 字数: 2
𡄢(shē): 《字彙補·口部》：“𡄢，義未詳; 字数: 10
𡄣(mí): 佛教梵咒常用字; 字数: 7
𡄤(hu醤): 象声词; 字数: 3
𡄱(ù): 口☀; 字数: 2
𡄲(rú): 兽名; 字数: 2
𡄳(à): 佛教*梵*咒音译用字; 字数: 10
𡄴(uò): 〔𡄴𡄴〕夸貌; 字数: 4
𡄵(yī): 〔𡄵嘘〕1.叹声; 字数: 4
𡄷(dī): 城名; 字数: 2
𡄹(luàn): 言语烦乱; 字数: 4
𡄻(yì): 痛声; 字数: 2
𡅂(b?): 〔𡅂鴣〕象声词; 字数: 5
𡅃(p醤g): 声音杂乱; 字数: 4
𡅄(tán): 指梵汉对译时用汉字标记梵语的发音; 字数: 16
𡅅(é（又读éi）): 叹词; 字数: 2
𡅆(zāng): 象声词; 字数: 3
𡅇(c髇g): 嘬口出声; 字数: 4
𡅓(zhāi): 狱名; 字数: 2
𡅥(di?): 〔𡅥窨〕唉声叹气，隐忍不语; 字数: 10
𡅭(guān): 〔𡅭𡅭〕象声词; 字数: 5
𡅹(zhān): 《類篇》知連切; 字数: 5
𡅺(jí): 〔㘊𡅺〕见“㘊”; 字数: 4
𡅻(huàn): 呼唤; 字数: 2
𡆆(luǒ): 佛经译音用字; 字数: 6
𡆏(dōu): 多言; 字数: 2
𡆕(li鄋): 留恋; 字数: 2
